University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
19,National University of Singapore,United States,"32,337",0.083692838654012,25%,51 : 49,87.1,0.7788461538461539,0.9274106175514626,0.9012096774193548,0.7939778129952457,0.9334112149532712
20,Cornell University,United States,"24,027",0.042709232096635,26%,51 : 49,85.9,0.8245192307692307,0.8526543878656554,0.972782258064516,0.0554675118858953,0.7336448598130842
21,"University of California, Los Angeles",United States,"42,434",0.040120793787748,16%,56 : 44,85.8,0.826923076923077,0.8829902491874324,0.9536290322580644,0.3470681458003168,0.594626168224299
22,UCL,United Kingdom,"36,790",0.042709232096635,60%,59 : 41,85.7,0.7560096153846153,0.8450704225352114,0.9788306451612904,0.1204437400950871,0.9649532710280376
23,University of Michigan-Ann Arbor,United States,"45,912",0.0336496980155306,17%,50 : 50,82.9,0.813701923076923,0.8364030335861321,0.935483870967742,0.1870047543581616,0.5268691588785046
24,New York University,United States,"36,337",0.0405522001725625,42%,57 : 43,82.7,0.7524038461538461,0.8299024918743229,0.9495967741935484,0.1220285261489698,0.7079439252336448
25,Duke University,United States,"16,091",0.0163934426229508,24%,52 : 48,82.6,0.799278846153846,0.7453954496208017,0.9566532258064516,0.993660855784469,0.6296728971962617
26,Northwestern University,United States,"19,175",0.0552200172562553,20%,51 : 49,82.1,0.7223557692307693,0.7941495124593717,0.974798387096774,0.7622820919175912,0.6179906542056075
26,University of Washington,United States,"47,727",0.0448662640207075,18%,55 : 45,82.1,0.721153846153846,0.8169014084507042,0.9889112903225806,0.2694136291600634,0.5712616822429906
28,Carnegie Mellon University,United States,"14,305",0.0539257981018119,47%,44 : 56,81.1,0.6466346153846154,0.8060671722643553,0.9868951612903226,0.2900158478605389,0.7710280373831775
29,University of Edinburgh,United Kingdom,"32,845",0.0491803278688524,47%,62 : 38,79.8,0.6646634615384616,0.7269772481040087,0.970766129032258,0.063391442155309,0.9521028037383176
30,Technical University of Munich,United States,"33,960",0.1734253666954271,36%,37 : 63,79.3,0.6995192307692307,0.810400866738895,0.84375,1.0,0.7429906542056075
31,University of Hong Kong,United States,"18,087",0.0767903364969801,43%,54 : 46,78.5,0.6490384615384615,0.7226435536294691,0.9233870967741936,0.375594294770206,0.9883177570093458
32,"University of California, San Diego",United States,"37,030",0.0470232959447799,28%,48 : 52,78.1,0.5841346153846154,0.7562296858071507,0.9818548387096774,0.8890649762282092,0.6273364485981308
33,LMU Munich,United States,"35,003",0.1458153580672994,19%,61 : 39,77.7,0.6694711538461537,0.7681473456121344,0.872983870967742,1.0,0.6588785046728971
34,University of Melbourne,Australia,"49,588",0.1009490940465919,47%,58 : 42,77.6,0.6670673076923076,0.7421451787648972,0.8568548387096774,0.6529318541996829,0.9287383177570092
35,King’s College London,United Kingdom,"28,965",0.0491803278688524,52%,63 : 37,77.1,0.5576923076923077,0.7096424702058506,0.9818548387096774,0.1378763866877971,0.9579439252336448
